Block,Floor,Room Number,Room Name,Location/Side
BTech,Ground,,Hostel Help Desk,Front
BTech,Ground,,Reception,Front
BTech,Ground,,Open Audi,Front
BTech,Ground,,Admission Record Office,Front
BTech,Ground,,Placement Department,Front
BTech,Ground,,Female Washroom,Front
BTech,Ground,,Control Room (Exams),Front
BTech,Ground,LT-12,,Front
BTech,Ground,,Finance & Accounts Department,Front
BTech,Ground,,Boys Washroom,Front
BTech,Ground,,Office of International Affairs,Front
BTech,Ground (Back),,DEE,Back
BTech,Ground (Back),EE Lab-1,,Back
BTech,Ground (Back),Lab-2,,Back
BTech,Ground (Back),,Nano Coatings Lab,Back
BTech,Ground (Back),,Project Lab,Back
BTech,First,LT-13,,Front
BTech,First,,Conference Hall,Front
BTech,First,,Boys Washroom,Front
BTech,First,,Staff Room,Front
BTech,First (Back),CR-15,,Back
BTech,First (Back),EC Lab-6,IBM Lab,Back
BTech,First (Back),CR-16,,Back
BTech,Second,EC Lab-4,,Front
BTech,Second,EC Lab-8,Microprocessor Lab,Front
BTech,Second,,Staff Room,Front
BTech,Second,,Female Washroom,Front
BTech,Second,EC Lab-1,,Front
BTech,Second,LT-14,,Front
BTech,Second,EC Lab-2,,Front
BTech,Second,EC Lab-7,,Front
BTech,Second (Back),CR-17,Electrical Circuits & Measurement Lab,Back
BTech,Second (Back),,Network Lab,Back
BTech,Second (Back),CR-18,,Back
BTech,Third,ECL-9,High Performance Computing and Research Lab,Front
BTech,Third,LT-15,,Front
BTech,Third,EC Lab-9,Propagation Research Lab,Front
BTech,Third,EC Lab-3,,Front
BTech,Third,,Male Washroom,Front
BTech,Third (Back),TR-5,,Back
BTech,Third (Back),EE Lab-4,,Back
BTech,Third (Back),,Control System Lab,Back
BTech,Third (Back),EE Lab-6,,Back
BTech,,,Badminton Court,Back Side
BTech,,,Basketball Court,Back Side